Input file name,Solution cost,Time spent,Optimal
MO1,1305.95141,0.00075,1
MO2,1432.35732,0.00143,1
MO3,1521.47273,0.00082,1
MO4,1442.23643,0.00071,1
MO5,1408.76638,0.00076,1
MP1,2686.47946,0.00330,1
MP2,2904.85901,0.00375,1
MP3,2623.70888,0.00382,1
MP4,2938.75002,0.00287,1
MP5,2939.94900,0.00286,1
MQ1,4091.00946,0.00684,1
MQ2,4028.32573,0.00667,1
MQ3,4283.73802,0.01144,1
MQ4,4235.14701,0.00863,1
MQ5,4082.12890,0.01136,1
MR1,2609.07999,0.02476,1
MR2,2654.73466,0.01902,1
MR3,2788.25019,0.02481,1
MR4,2756.03860,0.02171,1
MR5,2506.06177,0.03109,1
MS1,5283.75739,0.11169,1
MT1,10090.48970,0.49351,1
